$submission_id,$created,ageGroup,student,fieldOfStudy,googleAccountHolder,dataCollectGuess,likelyCollectedData.camera,likelyCollectedData.gps,likelyCollectedData.mobileNum,likelyCollectedData.searches,likelyCollectedData.myData,likelyCollectedData.name,likelyCollectedData.address,likelyCollectedData.shoeSize,likelyCollectedData.mobileDeviceType,likelyCollectedData.movementData,likelyCollectedData.choices,likelyCollectedData.eMail,likelyCollectedData.video,likelyCollectedData.paymentHistory,likelyCollectedData.contacts,likelyCollectedData.thirdPartiesActivity,problematicIfCollected.camera,problematicIfCollected.gps,problematicIfCollected.mobileNum,problematicIfCollected.search,problematicIfCollected.myData,problematicIfCollected.name,problematicIfCollected.address,problematicIfCollected.shoeSize,problematicIfCollected.mobileDeviceType,problematicIfCollected.movementData,problematicIfCollected.choices,problematicIfCollected.eMail,problematicIfCollected.video,problematicIfCollected.paymentHistory,problematicIfCollected.contacts,problematicIfCollected.thridPartiesActivity,$answer_time_ms
31111540,2024-03-20'T'20:31:19,adult,yes,infoTech,yes,"GPS, IP, date, time, type of product I buy, sites I navigate",1,5,2,4,4,2,1,3,4,3,5,2,5,2,1,5,5,5,5,3,3,5,5,3,3,1,2,5,5,5,5,3,945999
31112065,2024-03-20'T'21:40:12,young,yes,infoTech,yes,"Posisjon
Søkshistorikk
Interesser
Nettsideklikk
Videoklikk
Epost-data",1,5,5,5,5,5,5,4,5,2,4,5,5,5,5,5,5,4,2,3,2,1,4,1,1,3,5,5,4,5,5,5,284412
31112099,2024-03-20'T'21:44:48,over30,yes,infoTech,yes,"Nevne, preferanse, kontakter",5,5,5,5,5,5,5,3,5,5,5,4,5,5,5,5,5,5,3,4,4,4,5,3,4,5,4,5,5,5,5,4,578885
31115014,2024-03-21'T'09:49:26,young,yes,infoTech,yes,Alt jeg fører inn + geografiske data også sikkert,3,4,5,5,5,5,4,1,5,2,3,5,5,5,5,5,5,5,2,4,4,2,4,5,3,1,5,5,4,4,5,5,229940
31115023,2024-03-21'T'09:49:38,young,yes,infoTech,yes,alt av søk og nettsider man besøker,3,4,5,5,5,5,5,3,5,4,2,5,5,5,4,5,5,4,3,2,3,3,3,5,2,4,5,3,3,3,3,3,209832
31115089,2024-03-21'T'09:51:12,young,yes,infoTech,yes,Alle tiktoksa mine,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,1,3,5,5,4,3,5,4,3,207351
31115167,2024-03-21'T'09:54:49,young,yes,langLitt,yes,"Alt mulig rart. Alder, kjønn, bosted, alle mine interesser og hobbyer, hvordan jeg bruker google osv…",5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,3,2,2,2,2,3,2,2,3,5,4,2,3,3,2,189544
31115632,2024-03-21'T'10:07:08,young,yes,math,yes,"Alder, bosted, hva slags type ting jeg søker på",2,4,4,5,5,5,5,1,5,2,3,4,5,4,4,5,5,4,4,2,1,1,4,2,2,4,5,4,4,4,3,3,289924
31115921,2024-03-21'T'10:17:57,young,yes,engineering,yes,alt,4,4,4,5,5,5,3,3,4,5,5,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,108845
31117280,2024-03-21'T'10:54:50,young,yes,teacher,yes,Alt jeg gjør fra Googles søkemotor,3,4,5,5,5,5,5,5,5,4,3,5,5,5,5,5,5,5,4,2,3,2,4,2,3,5,5,5,5,5,4,5,139998
31117364,2024-03-21'T'10:57:51,young,yes,mediaComm,yes,Absolutt alt de kommer over,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,98286
31117680,2024-03-21'T'11:05:23,young,yes,engineering,yes,"Søkehistorikk, posisjon, logghistorikk

Relevant info for personlige reklamer",1,5,2,5,4,3,4,1,5,1,1,2,4,5,4,5,5,5,5,3,2,3,4,3,1,5,5,5,2,4,5,5,234742
